Unnamed: 0,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg)
499,hati kerbau,674,24.4,4.9,3.4,0.0,1.1,389.0,20357.0,0.0,0.18,3.6,0.52,290,15.0,70,235,7,20.0,404,6.8,6.1
500,hati menthok,657,24.4,5.5,0.9,0.0,0.9,631.0,11325.0,0.0,0.36,2.7,0.4,590,23.0,51,140,14,21.0,312,8.5,4.3
501,hati merpati,657,24.4,5.5,0.9,0.0,0.9,631.0,11325.0,0.0,0.36,2.7,0.4,590,23.0,51,140,14,21.0,312,8.5,4.3
502,hati sapi,674,24.4,4.9,3.4,0.0,1.1,389.0,20357.0,0.0,0.18,3.6,0.52,290,15.0,70,235,7,20.0,404,6.8,6.1
503,iso sapi mentah usus,393,14.1,3.8,0.0,0.0,0.2,35.0,0.0,0.0,0.05,0.08,0.19,4,0.0,30,192,3,13.0,110,1.0,2.3
504,jangkrik,1146,18.2,21.5,2.0,0.0,2.6,75.0,1.0,0.0,0.67,0.23,0.3,3,2.0,55,545,90,62.0,424,2.5,8.4
505,jantung ayam mentah,695,29.0,4.7,0.0,0.0,0.2,69.0,0.0,0.0,0.09,0.17,0.38,7,0.0,62,395,5,27.0,226,2.0,4.7
506,jantung itik,695,29.0,4.7,0.0,0.0,0.2,69.0,0.0,0.0,0.09,0.17,0.38,7,0.0,62,395,5,27.0,226,2.0,4.7
507,jantung menthok,695,29.0,4.7,0.0,0.0,0.2,69.0,0.0,0.0,0.09,0.17,0.38,7,0.0,62,395,5,27.0,226,2.0,4.7
508,jantung merpati,695,29.0,4.7,0.0,0.0,0.2,69.0,0.0,0.0,0.09,0.17,0.38,7,0.0,62,395,5,27.0,226,2.0,4.7
509,jerohan ayam,393,14.1,3.8,0.0,0.0,0.2,35.0,0.0,0.0,0.05,0.08,0.19,4,0.0,30,192,3,13.0,110,1.0,2.3
510,jerohan menthok,393,14.1,3.8,0.0,0.0,0.2,35.0,0.0,0.0,0.05,0.08,0.19,4,0.0,30,192,3,13.0,110,1.0,2.3
511,kaldu ayam,33,0.5,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,1,0.0,560,15,2,2.0,11,0.1,0.0
512,kikil kambing mentah,293,6.5,4.7,0.0,0.0,0.2,20.0,0.0,0.0,0.02,0.04,0.09,2,0.0,14,88,1,6.0,50,0.4,1.1
513,kodok hijau,410,20.1,1.4,0.0,0.0,0.3,46.0,0.0,0.0,0.02,0.19,0.35,7,0.0,42,235,11,25.0,165,1.6,1.9
514,kuah daging kambing belu,63,1.0,1.2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.01,0.01,0,0.0,2,13,0,1.0,8,0.1,0.2
515,kulit daging itik,1410,19.0,28.4,0.0,0.0,3.7,84.0,63.0,1.0,0.17,0.27,0.18,6,0.0,59,204,11,16.0,156,2.7,1.9
516,laron,1146,18.2,21.5,2.0,0.0,2.6,75.0,1.0,0.0,0.67,0.23,0.3,3,2.0,55,545,90,62.0,424,2.5,8.4
517,limfa ayam,607,25.1,4.2,0.0,0.0,0.3,347.0,0.0,0.0,0.05,0.3,0.04,4,50.0,57,284,12,19.0,305,39.4,2.8
518,limfa sapi,607,25.1,4.2,0.0,0.0,0.3,347.0,0.0,0.0,0.05,0.3,0.04,4,50.0,57,284,12,19.0,305,39.4,2.8
519,otak,669,11.1,12.5,0.0,0.0,1.4,2054.0,0.0,2.0,0.08,0.17,0.24,7,1.0,120,240,9,14.0,352,2.2,1.3
520,otak ayam,669,11.1,12.5,0.0,0.0,1.4,2054.0,0.0,2.0,0.08,0.17,0.24,7,1.0,120,240,9,14.0,352,2.2,1.3
521,rambak mentah,1594,24.1,30.9,0.0,0.0,1.2,87.0,0.0,0.0,0.07,0.14,0.32,6,0.0,51,328,4,22.0,188,1.6,3.9
522,rempelo ayam,695,29.0,4.7,0.0,0.0,0.2,69.0,0.0,0.0,0.09,0.17,0.38,7,0.0,62,395,5,27.0,226,2.0,4.7
523,rempelo burung,695,29.0,4.7,0.0,0.0,0.2,69.0,0.0,0.0,0.09,0.17,0.38,7,0.0,62,395,5,27.0,226,2.0,4.7
524,rempelo itik,695,29.0,4.7,0.0,0.0,0.2,69.0,0.0,0.0,0.09,0.17,0.38,7,0.0,62,395,5,27.0,226,2.0,4.7
525,rempelo menthok,695,29.0,4.7,0.0,0.0,0.2,69.0,0.0,0.0,0.09,0.17,0.38,7,0.0,62,395,5,27.0,226,2.0,4.7
526,rempelo merpati,695,29.0,4.7,0.0,0.0,0.2,69.0,0.0,0.0,0.09,0.17,0.38,7,0.0,62,395,5,27.0,226,2.0,4.7
527,sate ayam,1314,25.6,23.0,0.0,0.0,4.1,75.0,37.0,0.0,0.09,0.23,0.24,5,0.0,69,173,12,19.0,171,1.3,1.7
528,sate cekek,1695,22.9,34.4,0.0,0.0,1.2,83.0,0.0,0.0,0.07,0.13,0.3,6,0.0,48,312,4,21.0,179,1.5,3.7
529,sayur sop ayam,301,5.9,3.8,3.4,0.7,0.9,16.0,232.0,0.0,0.04,0.06,0.12,11,4.0,23,118,14,9.0,48,0.5,0.4
530,semur daging,925,11.1,16.2,15.5,1.9,9.3,0.0,209.0,1.0,0.29,0.14,0.24,142,16.0,13,488,61,65.0,146,2.1,1.1
531,semur daging ayam belu,1920,10.8,47.6,0.0,0.0,2.4,32.0,16.0,0.0,0.04,0.1,0.1,2,0.0,29,73,5,8.0,72,0.6,0.7
532,tawon muda (kangsen),1192,15.0,21.0,8.0,0.0,3.2,71.0,1.0,0.0,0.67,1.17,0.28,3,3.0,13,96,18,29.0,96,3.1,4.9
533,baso somay,870,3.7,0.4,45.7,0.9,0.1,4.0,1.0,0.0,0.04,0.01,0.02,5,0.0,6,52,5,8.0,48,0.5,0.2
534,bedhek,243,8.1,1.5,2.5,0.0,0.4,19.0,18.0,1.0,0.01,0.13,0.02,5,0.0,125,91,11,13.0,97,2.3,0.9
535,belut segar mentah,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
536,telur ikan lele,682,19.8,8.4,0.8,0.0,1.1,463.0,297.0,2.0,0.12,0.25,0.33,47,0.0,108,399,62,63.0,253,2.6,1.0
537,telur ikan kating,682,19.8,8.4,0.8,0.0,1.1,463.0,297.0,2.0,0.12,0.25,0.33,47,0.0,108,399,62,63.0,253,2.6,1.0
538,telur ikan gabus,682,19.8,8.4,0.8,0.0,1.1,463.0,297.0,2.0,0.12,0.25,0.33,47,0.0,108,399,62,63.0,253,2.6,1.0
539,telur ikan luthok mentah,682,19.8,8.4,0.8,0.0,1.1,463.0,297.0,2.0,0.12,0.25,0.33,47,0.0,108,399,62,63.0,253,2.6,1.0
540,telur ikan bethik mentah,682,19.8,8.4,0.8,0.0,1.1,463.0,297.0,2.0,0.12,0.25,0.33,47,0.0,108,399,62,63.0,253,2.6,1.0
541,tepung ikan teri,1569,65.6,10.5,0.0,0.0,2.2,64.0,0.0,0.0,0.11,0.3,0.46,31,0.0,349,1067,1904,157.0,1456,2.8,5.8
542,terasi merah,439,18.5,2.9,0.0,0.0,0.6,72.0,15.0,2.0,0.23,0.07,0.11,10,1.0,824,419,12,28.0,304,0.4,0.6
543,tumis ikan teri,423,14.8,4.3,0.0,0.0,0.5,58.0,12.0,2.0,0.18,0.06,0.09,8,1.0,40,335,9,22.0,243,0.3,0.5
544,undur-undur,222,11.4,0.5,0.0,0.0,0.2,28.0,7.0,1.0,0.05,0.04,0.14,6,1.0,39,122,7,21.0,69,0.3,0.3
545,udang segar,331,16.7,0.9,0.0,0.0,0.3,156.0,51.0,3.0,0.02,0.02,0.1,3,2.0,179,146,31,27.0,110,2.5,1.3
546,udang kering,1280,66.4,2.5,0.0,0.0,0.8,160.0,0.0,0.0,0.1,0.11,0.82,35,0.0,227,710,41,122.0,402,1.4,1.7
547,cakalang,439,18.5,2.9,0.0,0.0,0.6,72.0,15.0,2.0,0.23,0.07,0.11,10,1.0,50,419,11,28.0,304,0.4,0.6
548,cumi-cumi segar,615,25.0,2.2,5.0,0.0,0.8,373.0,8.0,1.0,0.03,0.66,0.09,3,7.0,70,394,51,53.0,354,1.1,2.5
549,hati ikan bojor,657,24.4,5.5,0.9,0.0,0.9,631.0,11325.0,0.0,0.36,2.7,0.4,590,23.0,51,140,14,21.0,312,8.5,4.3
550,ikan asin belanak,1025,53.1,2.0,0.0,0.0,0.6,128.0,0.0,0.0,0.08,0.09,0.66,28,0.0,2893,569,36,98.0,322,1.1,1.4
551,ikan asin bilis,1025,53.1,2.0,0.0,0.0,0.6,128.0,0.0,0.0,0.08,0.09,0.66,28,0.0,2893,569,36,98.0,322,1.1,1.4
552,ikan asin gabus,1025,53.1,2.0,0.0,0.0,0.6,128.0,0.0,0.0,0.08,0.09,0.66,28,0.0,2893,569,36,98.0,322,1.1,1.4
553,ikan asin goreng,678,13.0,12.0,0.0,0.0,6.2,50.0,11.0,2.0,0.16,0.05,0.08,7,1.0,35,293,8,20.0,213,0.3,0.4
554,ikan asin japuh,665,16.3,10.4,0.0,0.0,1.7,40.0,27.0,0.0,0.0,0.14,0.46,8,0.0,2072,296,28,26.0,192,0.8,0.4
555,ikan asin juwi,1025,53.1,2.0,0.0,0.0,0.6,128.0,0.0,0.0,0.08,0.09,0.66,28,0.0,2893,569,36,98.0,322,1.1,1.4
556,ikan asin kacangan,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,1998,195,13,34.0,110,0.4,0.5
557,ikan asin kembung,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,1991,461,50,86.0,228,0.9,0.4
558,ikan asin kering,1280,66.4,2.5,0.0,0.0,0.8,160.0,0.0,0.0,0.1,0.11,0.82,35,0.0,2938,711,44,122.0,402,1.4,1.7
559,ikan asin layur,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,1998,195,13,34.0,110,0.4,0.5
560,ikan asin pari,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,62,195,11,34.0,110,0.4,0.5
561,ikan asin pepetek,351,14.8,2.3,0.0,0.0,0.5,58.0,12.0,2.0,0.18,0.06,0.09,8,1.0,1976,335,11,22.0,243,0.3,0.5
562,ikan asin selar,678,22.9,7.2,0.0,0.0,1.8,84.0,9.0,2.0,0.42,0.07,0.22,7,2.0,2774,428,55,38.0,531,1.6,1.9
563,ikan asin serinding,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,1998,195,13,34.0,110,0.4,0.5
564,ikan asin terbang,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,1998,195,13,34.0,110,0.4,0.5
565,ikan asin teri,1402,58.6,9.4,0.0,0.0,2.0,57.0,0.0,0.0,0.1,0.27,0.41,28,0.0,1861,953,1702,140.0,1300,2.5,5.2
566,ikan asin terongan,1025,53.1,2.0,0.0,0.0,0.6,128.0,0.0,0.0,0.08,0.09,0.66,28,0.0,2893,569,36,98.0,322,1.1,1.4
567,ikan asin wader / memreng,1025,53.1,2.0,0.0,0.0,0.6,128.0,0.0,0.0,0.08,0.09,0.66,28,0.0,2893,569,36,98.0,322,1.1,1.4
568,ikan awu-awu bakar,310,13.0,2.0,0.0,0.0,0.4,50.0,11.0,1.0,0.16,0.05,0.08,7,1.0,35,293,8,20.0,213,0.3,0.4
569,ikan baleng segar,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
570,ikan bambangan,439,22.8,0.9,0.0,0.0,0.3,55.0,14.0,1.0,0.09,0.08,0.28,12,1.0,78,244,14,42.0,138,0.5,0.6
571,ikan bandeng,351,14.8,2.3,0.0,0.0,0.5,58.0,12.0,2.0,0.18,0.06,0.09,8,1.0,40,335,9,22.0,243,0.3,0.5
572,ikan banyara goreng,678,13.0,12.0,0.0,0.0,6.2,50.0,11.0,2.0,0.16,0.05,0.08,7,1.0,35,293,8,20.0,213,0.3,0.4
573,ikan banyara sedang mentah,222,9.3,1.5,0.0,0.0,0.3,36.0,8.0,1.0,0.12,0.04,0.06,5,1.0,25,210,6,14.0,152,0.2,0.3
574,ikan bawal,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,62,195,11,34.0,110,0.4,0.5
575,ikan belanak,351,14.8,2.3,0.0,0.0,0.5,58.0,12.0,2.0,0.18,0.06,0.09,8,1.0,40,335,9,22.0,243,0.3,0.5
576,ikan bethik,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,62,195,11,34.0,110,0.4,0.5
577,ikan bojor segar,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,62,195,11,34.0,110,0.4,0.5
578,ikan boso mentah,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
579,ikan cepa-cepa goreng,678,13.0,12.0,0.0,0.0,6.2,50.0,11.0,2.0,0.16,0.05,0.08,7,1.0,35,293,8,20.0,213,0.3,0.4
580,ikan cue,310,13.0,2.0,0.0,0.0,0.4,50.0,11.0,1.0,0.16,0.05,0.08,7,1.0,35,293,8,20.0,213,0.3,0.4
581,ikan cumi basah goreng,1138,26.0,12.3,12.6,0.3,6.6,373.0,8.0,1.0,0.04,0.66,0.09,5,7.0,71,404,53,55.0,364,1.2,2.6
582,ikan dares mentah,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
583,ikan gabus kering,1025,53.1,2.0,0.0,0.0,0.6,128.0,0.0,0.0,0.08,0.09,0.66,28,0.0,182,568,33,98.0,322,1.1,1.4
584,ikan gabus segar,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,62,195,11,34.0,110,0.4,0.5
585,ikan goreng,669,13.0,12.0,0.0,0.0,0.6,50.0,11.0,2.0,0.16,0.05,0.08,7,1.0,35,293,8,20.0,213,0.3,0.4
586,ikan hiu,586,26.7,2.9,0.0,0.0,0.9,41.0,54.0,1.0,0.07,0.09,0.4,14,0.0,69,576,60,107.0,285,1.1,0.5
587,ikan jempol,586,26.7,2.9,0.0,0.0,0.9,41.0,54.0,1.0,0.07,0.09,0.4,14,0.0,69,576,60,107.0,285,1.1,0.5
588,ikan juwi,222,11.4,0.5,0.0,0.0,0.2,28.0,7.0,1.0,0.05,0.04,0.14,6,1.0,39,122,7,21.0,69,0.3,0.3
589,ikan kacangan,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,62,195,11,34.0,110,0.4,0.5
590,ikan kacap,1059,13.5,22.0,0.3,0.0,12.0,50.0,11.0,3.0,0.16,0.06,0.09,8,1.0,314,304,9,22.0,219,0.4,0.4
591,ikan kakap,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,62,195,11,34.0,110,0.4,0.5
592,ikan kating,665,16.3,10.4,0.0,0.0,1.7,40.0,27.0,0.0,0.0,0.14,0.46,8,0.0,136,296,26,26.0,192,0.8,0.4
593,ikan kembung,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
594,ikan kembung goreng,845,16.0,15.0,0.0,0.0,7.1,59.0,6.0,2.0,0.29,0.05,0.15,5,1.0,44,299,36,27.0,372,1.1,1.3
595,ikan kiper mentah,351,14.8,2.3,0.0,0.0,0.5,58.0,12.0,2.0,0.18,0.06,0.09,8,1.0,40,335,9,22.0,243,0.3,0.5
596,ikan kuah rebus belu,222,9.3,1.5,0.0,0.0,0.3,36.0,8.0,1.0,0.12,0.04,0.06,5,1.0,25,210,6,14.0,152,0.2,0.3
597,ikan lawes,351,14.8,2.3,0.0,0.0,0.5,58.0,12.0,2.0,0.18,0.06,0.09,8,1.0,40,335,9,22.0,243,0.3,0.5
598,ikan layang,343,17.8,0.7,0.0,0.0,0.2,43.0,11.0,1.0,0.07,0.06,0.22,9,1.0,61,190,11,33.0,108,0.4,0.5
599,ikan lele,351,14.8,2.3,0.0,0.0,0.5,58.0,12.0,2.0,0.18,0.06,0.09,8,1.0,40,335,9,22.0,243,0.3,0.5
600,ikan lele dumbo,665,16.3,10.4,0.0,0.0,1.7,40.0,27.0,0.0,0.0,0.14,0.46,8,0.0,136,296,26,26.0,192,0.8,0.4
601,ikan lemuru,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
602,ikan lukas mentah,586,26.7,2.9,0.0,0.0,0.9,41.0,54.0,1.0,0.07,0.09,0.4,14,0.0,69,576,60,107.0,285,1.1,0.5
603,ikan luthok,665,16.3,10.4,0.0,0.0,1.7,40.0,27.0,0.0,0.0,0.14,0.46,8,0.0,136,296,26,26.0,192,0.8,0.4
604,ikan mas bumbu kuning,912,16.7,15.7,2.9,1.7,7.3,59.0,11.0,2.0,0.31,0.06,0.21,19,2.0,47,376,60,39.0,389,2.6,1.5
605,ikan mas goreng,845,16.0,15.0,0.0,0.0,7.1,59.0,6.0,2.0,0.29,0.05,0.15,5,1.0,44,299,36,27.0,372,1.1,1.3
606,ikan mas pepes,339,11.5,3.6,0.0,0.0,0.9,42.0,5.0,1.0,0.21,0.04,0.11,4,1.0,32,214,26,19.0,266,0.8,1.0
607,ikan mas segar,544,18.3,5.8,0.0,0.0,1.4,67.0,7.0,2.0,0.34,0.06,0.18,6,2.0,50,342,42,30.0,425,1.3,1.5
608,ikan merah kecil,1770,58.6,19.4,0.0,0.0,7.8,57.0,0.0,1.0,0.1,0.27,0.41,28,0.0,312,953,1700,140.0,1300,2.5,5.2
609,ikan moto botor,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
610,ikan mujair dendeng mentah,1402,58.6,9.4,0.0,0.0,2.0,57.0,0.0,0.0,0.1,0.27,0.41,28,0.0,312,953,1700,140.0,1300,2.5,5.2
611,ikan mujair segar,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,62,195,11,34.0,110,0.4,0.5
612,ikan muntreng segar,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
613,ikan pe,222,9.3,1.5,0.0,0.0,0.3,36.0,8.0,1.0,0.12,0.04,0.06,5,1.0,25,210,6,14.0,152,0.2,0.3
614,ikan peda asin banjar,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,1991,461,50,86.0,228,0.9,0.4
615,ikan peda banjar,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,1991,461,50,86.0,228,0.9,0.4
616,ikan pepetek,351,14.8,2.3,0.0,0.0,0.5,58.0,12.0,2.0,0.18,0.06,0.09,8,1.0,40,335,9,22.0,243,0.3,0.5
617,ikan pindang banjar,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,1991,461,50,86.0,228,0.9,0.4
618,ikan pindang benggol,439,22.8,0.9,0.0,0.0,0.3,55.0,14.0,1.0,0.09,0.08,0.28,12,1.0,2789,245,17,42.0,138,0.5,0.6
619,ikan pindang juwi,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,1991,461,50,86.0,228,0.9,0.4
620,ikan pindang kembung,586,26.7,2.9,0.0,0.0,0.9,41.0,54.0,1.0,0.07,0.09,0.4,14,0.0,1618,576,62,107.0,285,1.1,0.5
621,ikan pindang layang,439,22.8,0.9,0.0,0.0,0.3,55.0,14.0,1.0,0.09,0.08,0.28,12,1.0,2789,245,17,42.0,138,0.5,0.6
622,ikan pindang layang goreng,1159,22.8,20.9,0.0,0.0,0.7,55.0,14.0,1.0,0.09,0.08,0.28,12,1.0,2789,245,17,42.0,138,0.5,0.6
623,ikan pindang selar kecil,586,26.7,2.9,0.0,0.0,0.9,41.0,54.0,1.0,0.07,0.09,0.4,14,0.0,69,576,60,107.0,285,1.1,0.5
624,ikan rebon kering,1280,66.4,2.5,0.0,0.0,0.8,160.0,0.0,0.0,0.1,0.11,0.82,35,0.0,227,710,41,122.0,402,1.4,1.7
625,ikan rebon segar,331,16.7,0.9,0.0,0.0,0.3,156.0,51.0,3.0,0.02,0.02,0.1,3,2.0,179,146,31,27.0,110,2.5,1.3
626,ikan salem segar,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,62,195,11,34.0,110,0.4,0.5
627,ikan sasi segar,293,13.4,1.5,0.0,0.0,0.5,21.0,27.0,1.0,0.04,0.05,0.2,7,0.0,35,288,30,54.0,143,0.6,0.3
628,ikan segar,410,18.1,2.4,0.0,0.0,0.6,45.0,28.0,1.0,0.12,0.07,0.2,10,0.0,48,398,28,54.0,236,0.6,0.4
629,ikan selar kering,678,22.9,7.2,0.0,0.0,1.8,84.0,9.0,2.0,0.42,0.07,0.22,7,2.0,63,427,52,38.0,531,1.6,1.9
630,ikan selar segar,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
631,ikan sepat kering,1046,29.5,13.8,0.0,0.0,6.1,170.0,80.0,0.0,0.05,0.43,0.58,10,0.0,780,516,660,62.0,624,3.5,3.6
632,ikan sepat segar,544,18.3,5.8,0.0,0.0,1.4,67.0,7.0,2.0,0.34,0.06,0.18,6,2.0,50,342,42,30.0,425,1.3,1.5
633,ikan sidat,791,19.0,12.0,0.0,0.0,1.0,129.0,909.0,4.0,0.14,0.04,0.06,8,0.0,52,279,21,21.0,222,0.5,1.7
634,ikan surung,351,18.2,0.7,0.0,0.0,0.2,44.0,11.0,1.0,0.07,0.06,0.22,10,1.0,62,195,11,34.0,110,0.4,0.5
635,ikan tawes/ bader,665,16.3,10.4,0.0,0.0,1.7,40.0,27.0,0.0,0.0,0.14,0.46,8,0.0,136,296,26,26.0,192,0.8,0.4
636,ikan tempel mentah,351,14.8,2.3,0.0,0.0,0.5,58.0,12.0,2.0,0.18,0.06,0.09,8,1.0,40,335,9,22.0,243,0.3,0.5
637,ikan tengiri,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
638,ikan teri asin kering,1402,58.6,9.4,0.0,0.0,2.0,57.0,0.0,0.0,0.1,0.27,0.41,28,0.0,3023,954,1703,140.0,1300,2.5,5.2
639,ikan teri bubuk,1569,65.6,10.5,0.0,0.0,2.2,64.0,0.0,0.0,0.11,0.3,0.46,31,0.0,349,1067,1904,157.0,1456,2.8,5.8
640,ikan teri goreng belu,1761,58.6,19.4,0.0,0.0,2.2,57.0,0.0,0.0,0.1,0.27,0.41,28,0.0,312,953,1700,140.0,1300,2.5,5.2
641,ikan teri nasi kering,1402,58.6,9.4,0.0,0.0,2.0,57.0,0.0,0.0,0.1,0.27,0.41,28,0.0,312,953,1700,140.0,1300,2.5,5.2
642,ikan teri segar,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
643,ikan teri tawar kering,1402,58.6,9.4,0.0,0.0,2.0,57.0,0.0,0.0,0.1,0.27,0.41,28,0.0,312,953,1700,140.0,1300,2.5,5.2
644,ikan terongan,469,21.4,2.3,0.0,0.0,0.7,33.0,43.0,1.0,0.06,0.07,0.32,11,0.0,55,461,48,86.0,228,0.9,0.4
645,ikan tongkol,464,24.0,1.0,0.0,0.0,0.3,46.0,16.0,1.0,0.4,0.05,0.28,3,0.0,38,190,17,22.0,196,0.7,0.6
646,ikan tongkol pindang,464,24.0,1.0,0.0,0.0,0.3,46.0,16.0,1.0,0.4,0.05,0.28,3,0.0,1974,190,19,22.0,196,0.7,0.6
647,ikan wader,351,14.8,2.3,0.0,0.0,0.5,58.0,12.0,2.0,0.18,0.06,0.09,8,1.0,40,335,9,22.0,243,0.3,0.5
648,ikan wedok,665,16.3,10.4,0.0,0.0,1.7,40.0,27.0,0.0,0.0,0.14,0.46,8,0.0,136,296,26,26.0,192,0.8,0.4
649,ikan wedok kering,1121,46.9,7.5,0.0,0.0,1.6,46.0,0.0,0.0,0.08,0.22,0.33,22,0.0,250,762,1360,112.0,1040,2.0,4.2
650,kepiting air tawar / yuyu,377,16.9,2.0,0.0,0.0,0.4,153.0,137.0,3.0,0.03,0.02,0.1,4,1.0,166,159,30,26.0,121,2.2,1.4
651,kepiting laut,364,16.5,1.3,1.2,0.0,0.5,145.0,46.0,3.0,0.04,0.07,0.1,6,2.0,177,160,29,28.0,122,3.2,5.1
652,kerang,431,14.3,2.7,4.4,0.0,0.7,34.0,32.0,1.0,0.01,0.23,0.04,8,0.0,221,161,20,22.0,171,4.0,1.6
653,samba goreng sarden belu,205,2.8,3.7,1.7,0.4,0.3,6.0,35.0,0.0,0.02,0.04,0.1,7,7.0,24,124,6,8.0,37,0.3,0.1
654,sardines,1427,24.6,26.5,0.0,0.0,13.8,142.0,67.0,1.0,0.04,0.36,0.48,8,0.0,650,430,550,52.0,520,2.9,3.0
655,sayur tude,556,18.8,5.8,0.4,0.4,1.4,67.0,68.0,2.0,0.34,0.07,0.2,20,7.0,54,382,56,33.0,433,1.5,1.6
656,gajih ayam,3766,0.0,99.8,0.0,0.0,20.9,85.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
657,gajih sapi,3774,0.0,100.0,0.0,0.0,4.0,109.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
658,kethak,3607,0.0,100.0,0.0,0.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
659,lemak kerbau,3586,0.0,95.0,0.0,0.0,3.8,104.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
660,margarin,2661,0.0,72.0,0.0,0.0,18.8,0.0,250.0,6.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
661,mentega,2971,0.2,80.6,0.0,0.0,3.0,207.0,749.0,2.0,0.0,0.01,0.0,1,0.0,221,7,6,1.0,6,0.1,0.0
662,minyak gajih,3586,0.0,95.0,0.0,0.0,3.8,104.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
663,minyak ikan,3766,0.0,99.8,0.0,0.0,20.9,85.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
664,minyak kacang tanah,3699,0.0,100.0,0.0,0.0,32.0,0.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
